0.79550 0.15335
0.78981 0.16398
0.78262 0.17687
0.77395 0.19221
0.76380 0.21007
0.75233 0.23039
0.73983 0.25289
0.72666 0.27716
0.71324 0.30271
0.69991 0.32901
0.68692 0.35567
0.67432 0.38240
0.66213 0.40901
0.65017 0.43537
0.63814 0.46163
0.62575 0.48758
0.61259 0.51319
0.59858 0.53835
0.58312 0.56272
0.56636 0.58609
0.54785 0.60771
0.52755 0.62667
0.50670 0.64188
0.48463 0.65241
0.46338 0.65603
0.44377 0.65366
0.42610 0.64444
0.41073 0.62998
0.39938 0.60987
0.39115 0.58750
0.38745 0.56185
0.38372 0.53471
0.38401 0.50643
0.38673 0.47742
0.38954 0.44811
0.39303 0.41712
0.39817 0.38606
0.40208 0.35465
0.40566 0.32467
0.40818 0.29549
0.40855 0.26783
0.40688 0.24242
0.40160 0.21896
0.39330 0.19821
0.38119 0.18001
0.36543 0.16476
0.34618 0.15283
0.32398 0.14452
0.29951 0.14030
0.27386 0.14048
0.24812 0.14536
0.22341 0.15513
0.20066 0.16973
0.18051 0.18909
0.16339 0.21292
0.14946 0.24078
0.13862 0.27215
0.13068 0.30642
0.12527 0.34286
0.12204 0.38082
0.12064 0.41975
0.12068 0.45907
0.12202 0.49830
0.12451 0.53730
0.12814 0.57551
0.13305 0.61261
0.13939 0.64822
0.14742 0.68186
0.15745 0.71302
0.16976 0.74141
0.18464 0.76679
0.20240 0.78903
0.22332 0.80815
0.24763 0.82429
0.27546 0.83762
0.30695 0.84834
0.34189 0.85666
0.37999 0.86279
0.42060 0.86698
0.46284 0.86931
0.50586 0.87015
0.54861 0.86945
0.59012 0.86745
0.62967 0.86405
0.66666 0.85920
0.70069 0.85270
0.73157 0.84425
0.75918 0.83357
0.78351 0.82028
0.80465 0.80415
0.82271 0.78508
0.83788 0.76320
0.85035 0.73891
0.86040 0.71283
0.86831 0.68588
0.87442 0.65909
0.87906 0.63306
0.88243 0.60889
0.88508 0.58620
0.88599 0.56573
